"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ATLANTA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"36,520",50,"1,760","11,500","1,150","22,060","36,520",,,,,,,,,,
2003-04,"37,540",50,"1,810","12,250","1,280","22,150","38,030",,,,,,,,,,
2004-05,"38,710",50,"1,890","12,950","1,540","22,280","39,310",,,,,,,,,,
2005-06,"40,600",50,"2,110","13,990","1,810","22,640","40,600",,,,,,,,,,
2006-07,"42,680",50,"2,250","15,090","2,140","23,150","43,540",,,,,,,,,,
2007-08,"45,930",60,"2,370","16,760","2,650","24,090","46,930",,,,,,,,,,
2008-09,"47,970",80,"2,530","18,420","3,120","23,820","49,150",,,,,,,,,,
2009-10,"47,900",120,"2,700","17,720","3,380","23,980","47,900",,,,,,,,,,
2010-11,"48,970",130,"2,710","18,220","3,790","24,120","48,960",,,,,,,,,,
2011-12,"47,310",120,"2,890","17,360","3,950","22,990","47,280",,,,,,,,,,
2012-13,"48,570",120,"3,080","17,700","4,410","23,260","48,580",,,,,,,,,,
2013-14,"48,320",110,"3,330","17,410","4,500","22,970","48,340",,,,,,,,,,
2014-15,"48,030",120,"3,460","17,150","4,540","22,760","47,980",,,,,,,,,,
2015-16,"49,600",120,"3,670","17,590","4,990","23,230","49,350",,,,,,,,,,
2016-17,"50,530",130,"3,660","17,760","5,460","23,520","50,000",,,,,,,,,,
2017-18,"52,220",140,"4,060","18,590","5,920","23,510","51,420",,,,,,,,,,
2018-19,"53,330",120,"4,340","18,840","6,610","23,420","52,050",,,,,,,,,,
2019-20,"52,510",140,"4,430","18,110","6,790","23,040","50,920",,,,,,,,,,
2020-21,"52,790",140,"4,770","17,940","6,900","23,040","50,850",,,,,,,,,,
2021-22,"53,840",140,"5,100","18,180","7,270","23,150","51,450",,,,,,,,,,
2022-23,"56,050",110,"5,380","19,030","8,790","22,740","53,780",,,,,,,,,,
2023-24,"58,650",140,"5,560","20,470","9,410","23,070","56,290",,,,,,,,,,
2024-25,"60,100",130,"6,140","21,120","9,730","22,980","57,010",,,,,,,,,,
2025-26,"58,160",90,"5,930","20,680","10,040","21,420","55,140",,,,,,,,,,
2026-27,"56,390",100,"5,950","19,930","9,610","20,800","53,180",,,,,,,,,,
2027-28,"53,510",110,"5,790","19,220","8,350","20,040","50,500",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
