Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
BALTIMORE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"23,530",70,960,"7,160",380,"14,960","23,530",,,,,,,,,,
2003-04,"24,130",70,990,"7,310",410,"15,350","24,130",,,,,,,,,,
2004-05,"24,550",90,"1,060","7,850",470,"15,080","24,550",,,,,,,,,,
2005-06,"25,070",90,"1,180","8,140",540,"15,120","25,060",,,,,,,,,,
2006-07,"25,900",70,"1,170","8,510",550,"15,600","25,900",,,,,,,,,,
2007-08,"26,210",80,"1,230","8,740",670,"15,490","26,210",,,,,,,,,,
2008-09,"25,830",80,"1,230","8,970",730,"14,820","25,820",,,,,,,,,,
2009-10,"25,770",90,"1,300","9,090",750,"14,540","26,140",,,,,,,,,,
2010-11,"25,290",80,"1,220","9,220",830,"13,940","25,830",,,,,,,,,,
2011-12,"25,300",90,"1,300","9,270",910,"13,730","25,990",,,,,,,,,,
2012-13,"24,950",110,"1,360","8,920","1,010","13,550","25,870",,,,,,,,,,
2013-14,"23,440",80,"1,370","8,130","1,020","12,840","24,690",,,,,,,,,,
2014-15,"23,170",70,"1,420","8,140","1,040","12,500","24,440",,,,,,,,,,
2015-16,"23,130",80,"1,440","8,120","1,050","12,440","24,510",,,,,,,,,,
2016-17,"22,680",70,"1,430","7,980","1,120","12,080","24,190",,,,,,,,,,
2017-18,"23,080",80,"1,590","8,070","1,220","12,120","24,730",,,,,,,,,,
2018-19,"22,780",80,"1,610","7,970","1,300","11,820","24,490",,,,,,,,,,
2019-20,"23,510",70,"1,790","8,030","1,460","12,160","25,490",,,,,,,,,,
2020-21,"23,790",70,"1,890","8,050","1,570","12,210","25,900",,,,,,,,,,
2021-22,"24,140",80,"1,980","8,220","1,640","12,220","26,360",,,,,,,,,,
2022-23,"23,730",100,"2,250","8,230","1,890","11,260","25,900",,,,,,,,,,
2023-24,"24,390",100,"2,300","8,570","2,200","11,220","26,760",,,,,,,,,,
2024-25,"24,610",80,"2,410","8,840","2,290","10,990","27,090",,,,,,,,,,
2025-26,"24,460",90,"2,450","8,780","2,270","10,870","26,840",,,,,,,,,,
2026-27,"23,750",110,"2,500","8,480","2,270","10,390","26,090",,,,,,,,,,
2027-28,"23,380",90,"2,580","8,280","2,210","10,220","25,590",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
