"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
BOSTON,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"37,950",80,"2,200","3,180","2,460","30,030","37,830",,,,,,,,,,
2003-04,"39,740",60,"2,320","3,610","2,880","30,870","39,570",,,,,,,,,,
2004-05,"40,610",90,"2,390","3,600","3,040","31,490","40,500",,,,,,,,,,
2005-06,"41,660",70,"2,430","3,760","3,630","31,770","41,600",,,,,,,,,,
2006-07,"43,070",70,"2,480","3,680","3,850","32,990","43,490",,,,,,,,,,
2007-08,"44,120",90,"2,530","3,970","4,190","33,340","44,570",,,,,,,,,,
2008-09,"44,560",100,"2,770","4,040","4,590","33,060","44,520",,,,,,,,,,
2009-10,"44,000",90,"2,790","3,990","4,590","32,540","43,790",,,,,,,,,,
2010-11,"43,710",80,"2,800","4,080","4,750","32,000","43,450",,,,,,,,,,
2011-12,"43,360",80,"2,940","4,040","4,880","31,420","43,170",,,,,,,,,,
2012-13,"42,970",80,"3,090","4,060","4,910","30,830","42,800",,,,,,,,,,
2013-14,"42,050",70,"3,150","3,770","5,000","30,060","42,040",,,,,,,,,,
2014-15,"41,770",80,"3,180","3,750","5,040","29,720","41,680",,,,,,,,,,
2015-16,"42,210",60,"3,250","3,850","5,320","29,730","42,290",,,,,,,,,,
2016-17,"41,700",60,"3,270","3,800","5,560","29,010","41,770",,,,,,,,,,
2017-18,"42,050",50,"3,610","3,770","5,880","28,740","41,910",,,,,,,,,,
2018-19,"42,010",50,"3,770","3,820","6,000","28,370","41,820",,,,,,,,,,
2019-20,"41,710",60,"3,840","3,760","6,300","27,750","41,480",,,,,,,,,,
2020-21,"42,020",50,"4,110","3,790","6,550","27,520","41,760",,,,,,,,,,
2021-22,"41,880",60,"4,120","3,740","6,890","27,070","41,600",,,,,,,,,,
2022-23,"40,630",60,"4,080","3,830","6,760","25,900","40,220",,,,,,,,,,
2023-24,"41,140",50,"4,210","4,070","7,120","25,690","40,530",,,,,,,,,,
2024-25,"41,320",60,"4,400","4,130","7,240","25,490","40,650",,,,,,,,,,
2025-26,"40,950",70,"4,460","4,100","7,320","25,000","40,160",,,,,,,,,,
2026-27,"40,030",50,"4,490","4,110","7,340","24,040","39,160",,,,,,,,,,
2027-28,"38,850",40,"4,410","4,030","7,070","23,300","37,940",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
