Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CHICAGO,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"83,370",210,"4,820","13,780","12,890","51,670","83,360",,,,,,,,,,
2003-04,"87,350",200,"4,930","15,590","14,110","52,520","87,350",,,,,,,,,,
2004-05,"88,520",320,"5,050","16,030","14,430","52,690","88,710",,,,,,,,,,
2005-06,"91,840",200,"5,300","16,780","15,230","54,330","91,830",,,,,,,,,,
2006-07,"94,340",370,"5,490","18,160","15,730","54,590","95,200",,,,,,,,,,
2007-08,"98,350",260,"5,530","19,040","17,910","55,610","99,650",,,,,,,,,,
2008-09,"96,420",190,"5,170","19,140","19,170","52,750","97,610",,,,,,,,,,
2009-10,"97,390",320,"5,370","18,870","19,960","52,870","97,530",,,,,,,,,,
2010-11,"100,310",460,"5,550","19,810","21,880","52,610","98,090",,,,,,,,,,
2011-12,"101,250",390,"5,770","20,180","23,590","51,320","98,990",,,,,,,,,,
2012-13,"101,070",440,"6,100","19,360","24,460","50,710","98,660",,,,,,,,,,
2013-14,"95,450",360,"6,030","17,210","22,870","48,980","93,870",,,,,,,,,,
2014-15,"96,430",320,"6,250","17,060","24,270","48,530","94,240",,,,,,,,,,
2015-16,"96,190",320,"6,320","16,800","24,960","47,790","94,200",,,,,,,,,,
2016-17,"95,720",300,"6,380","16,340","25,150","47,550","93,710",,,,,,,,,,
2017-18,"97,840",310,"7,050","16,580","26,370","47,530","95,080",,,,,,,,,,
2018-19,"97,630",330,"7,160","15,950","26,970","47,220","94,730",,,,,,,,,,
2019-20,"96,310",340,"7,260","15,420","27,020","46,270","93,450",,,,,,,,,,
2020-21,"96,290",330,"7,630","14,810","27,660","45,860","93,170",,,,,,,,,,
2021-22,"97,170",300,"8,150","14,890","27,860","45,970","94,080",,,,,,,,,,
2022-23,"92,410",200,"7,890","14,250","27,080","42,990","92,720",,,,,,,,,,
2023-24,"93,640",210,"8,180","14,690","27,680","42,880","93,520",,,,,,,,,,
2024-25,"93,820",190,"8,350","14,800","27,560","42,920","93,770",,,,,,,,,,
2025-26,"91,830",190,"8,530","14,510","26,650","41,950","91,730",,,,,,,,,,
2026-27,"88,720",180,"8,350","14,060","25,170","40,960","89,020",,,,,,,,,,
2027-28,"85,590",170,"8,310","13,490","23,380","40,240","85,900",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
