"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
DALLAS-FORT WORTH,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"54,870",230,"2,640","9,660","10,780","31,560","54,870",,,,,,,,,,
2003-04,"57,630",280,"2,840","10,470","12,230","31,810","57,620",,,,,,,,,,
2004-05,"57,720",270,"2,820","10,530","12,690","31,410","57,710",,,,,,,,,,
2005-06,"58,140",280,"3,150","10,180","13,320","31,210","58,140",,,,,,,,,,
2006-07,"59,970",290,"3,330","10,690","14,200","31,460","59,970",,,,,,,,,,
2007-08,"62,760",340,"3,480","11,060","16,020","31,860","62,760",,,,,,,,,,
2008-09,"66,110",330,"3,720","11,940","18,330","31,790","66,110",,,,,,,,,,
2009-10,"65,130",530,"3,640","11,600","18,840","30,520","67,200",,,,,,,,,,
2010-11,"66,130",510,"3,870","11,830","19,420","30,500","68,460",,,,,,,,,,
2011-12,"65,490",510,"3,930","11,520","20,080","29,450","68,720",,,,,,,,,,
2012-13,"65,180",560,"4,160","11,170","20,540","28,750","69,440",,,,,,,,,,
2013-14,"62,430",510,"4,400","10,200","19,970","27,350","67,680",,,,,,,,,,
2014-15,"65,320",540,"4,640","10,630","21,970","27,540","70,800",,,,,,,,,,
2015-16,"66,080",550,"4,630","10,560","23,230","27,110","72,260",,,,,,,,,,
2016-17,"67,800",590,"4,850","10,500","24,530","27,330","74,440",,,,,,,,,,
2017-18,"69,270",530,"5,230","10,430","25,850","27,230","76,320",,,,,,,,,,
2018-19,"70,290",600,"5,480","10,300","27,250","26,660","77,650",,,,,,,,,,
2019-20,"70,460",590,"5,540","10,100","27,950","26,280","78,140",,,,,,,,,,
2020-21,"71,510",560,"5,890","9,920","29,130","26,010","79,410",,,,,,,,,,
2021-22,"71,850",560,"6,060","9,670","29,970","25,590","80,100",,,,,,,,,,
2022-23,"72,870",450,"5,940","10,060","30,910","25,510","81,210",,,,,,,,,,
2023-24,"75,700",490,"6,290","10,990","32,030","25,900","84,150",,,,,,,,,,
2024-25,"77,350",470,"6,860","11,010","33,090","25,920","85,740",,,,,,,,,,
2025-26,"77,020",510,"7,100","10,850","32,830","25,730","85,310",,,,,,,,,,
2026-27,"76,430",490,"7,240","10,740","32,560","25,400","84,560",,,,,,,,,,
2027-28,"73,820",520,"7,230","10,560","30,580","24,930","81,240",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
