Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
DENVER,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"19,920",140,930,"1,270","3,110","14,470","19,910",,,,,,,,,,
2003-04,"21,470",160,"1,010","1,490","3,690","15,120","21,470",,,,,,,,,,
2004-05,"20,800",170,980,"1,520","3,640","14,490","20,790",,,,,,,,,,
2005-06,"20,690",170,"1,020","1,460","3,790","14,250","20,680",,,,,,,,,,
2006-07,"21,480",160,"1,000","1,660","4,090","14,570","21,480",,,,,,,,,,
2007-08,"21,850",150,"1,000","1,720","4,410","14,570","21,850",,,,,,,,,,
2008-09,"22,570",170,"1,090","1,770","4,750","14,790","22,560",,,,,,,,,,
2009-10,"23,540",200,"1,140","2,000","5,350","14,850","23,470",,,,,,,,,,
2010-11,"24,220",180,"1,010","1,800","6,360","14,870","24,320",,,,,,,,,,
2011-12,"23,060",170,"1,050","1,620","5,970","14,250","23,610",,,,,,,,,,
2012-13,"22,750",160,"1,160","1,610","5,780","14,040","23,360",,,,,,,,,,
2013-14,"22,010",130,"1,160","1,550","5,450","13,720","22,770",,,,,,,,,,
2014-15,"22,940",150,"1,250","1,550","5,980","14,010","23,540",,,,,,,,,,
2015-16,"23,600",150,"1,300","1,670","6,340","14,140","24,260",,,,,,,,,,
2016-17,"24,140",150,"1,330","1,670","6,610","14,380","24,730",,,,,,,,,,
2017-18,"24,990",150,"1,430","1,700","6,870","14,840","25,480",,,,,,,,,,
2018-19,"25,420",170,"1,480","1,680","6,920","15,170","25,830",,,,,,,,,,
2019-20,"25,790",150,"1,590","1,680","7,050","15,320","26,220",,,,,,,,,,
2020-21,"26,620",150,"1,700","1,760","7,240","15,770","27,030",,,,,,,,,,
2021-22,"26,450",160,"1,750","1,720","7,150","15,670","26,820",,,,,,,,,,
2022-23,"26,820",180,"1,980","2,170","7,090","15,400","26,800",,,,,,,,,,
2023-24,"27,370",200,"2,010","2,180","7,360","15,620","27,450",,,,,,,,,,
2024-25,"27,480",210,"2,050","2,320","7,080","15,820","27,490",,,,,,,,,,
2025-26,"27,190",200,"2,010","2,340","6,910","15,730","27,240",,,,,,,,,,
2026-27,"26,830",220,"2,100","2,330","6,560","15,620","26,700",,,,,,,,,,
2027-28,"26,070",200,"2,110","2,370","6,210","15,180","25,790",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
