Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HOUSTON,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"53,210",100,"3,600","10,340","14,280","24,890","53,210",,,,,,,,,,
2003-04,"54,580",100,"3,610","10,760","15,340","24,770","54,580",,,,,,,,,,
2004-05,"54,440",100,"3,680","10,520","15,840","24,300","54,440",,,,,,,,,,
2005-06,"55,550",100,"3,900","10,760","16,130","24,660","55,550",,,,,,,,,,
2006-07,"55,540",130,"4,240","10,370","16,140","24,660","55,550",,,,,,,,,,
2007-08,"58,340",130,"4,060","11,220","18,220","24,710","58,330",,,,,,,,,,
2008-09,"61,260",140,"4,380","11,850","20,530","24,360","61,260",,,,,,,,,,
2009-10,"62,110",210,"4,490","11,670","22,000","23,740","62,900",,,,,,,,,,
2010-11,"63,270",200,"4,770","11,900","22,680","23,720","64,080",,,,,,,,,,
2011-12,"62,980",200,"4,840","11,590","23,450","22,900","64,320",,,,,,,,,,
2012-13,"62,930",220,"5,120","11,240","23,990","22,360","65,000",,,,,,,,,,
2013-14,"60,480",200,"5,420","10,270","23,320","21,270","63,350",,,,,,,,,,
2014-15,"63,710",220,"5,710","10,700","25,660","21,420","66,270",,,,,,,,,,
2015-16,"64,770",220,"5,700","10,630","27,130","21,090","67,640",,,,,,,,,,
2016-17,"66,670",230,"5,970","10,560","28,650","21,260","69,680",,,,,,,,,,
2017-18,"68,520",210,"6,440","10,500","30,190","21,180","71,440",,,,,,,,,,
2018-19,"69,910",230,"6,750","10,360","31,830","20,740","72,680",,,,,,,,,,
2019-20,"70,300",230,"6,830","10,160","32,640","20,440","73,140",,,,,,,,,,
2020-21,"71,710",220,"7,250","9,980","34,030","20,230","74,330",,,,,,,,,,
2021-22,"72,330",220,"7,470","9,730","35,000","19,910","74,980",,,,,,,,,,
2022-23,"73,550",180,"7,310","10,120","36,100","19,840","76,020",,,,,,,,,,
2023-24,"76,550",190,"7,750","11,050","37,410","20,150","78,770",,,,,,,,,,
2024-25,"78,530",190,"8,450","11,080","38,650","20,160","80,250",,,,,,,,,,
2025-26,"78,210",200,"8,740","10,920","38,340","20,010","79,850",,,,,,,,,,
2026-27,"77,710",200,"8,920","10,800","38,030","19,760","79,150",,,,,,,,,,
2027-28,"74,830",200,"8,900","10,620","35,720","19,390","76,040",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
