Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"These projections present the high school graduates from selected metropolitan areas, using U.S. Census definitions for metropolitan statistical areas (MSAs), and by associating local education agencies to their metropolitan statistical area for all years on the basis of their county designation for the 2008-09 academic year. Further details about metropolitan areas definitions are in Appendix C: Technical Information. Metropolitan statistical areas encompass a primary city and surrounding areas with close economic ties, but for brevity we refer to the metropolitan area by its primary city. The list below specifies the full Census name for each of the metropolitan statistical areas.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Metropolitan Area,,U.S. Census Metropolitan Statistical Area Name,,,,,,,,,,,,,,
,Atlanta ,,Atlanta-Sandy Springs-Marietta (GA),,,,,,,,,,,,,,
,Baltimore ,,Baltimore-Towson (MD),,,,,,,,,,,,,,
,Boston ,,Boston-Cambridge-Quincy (MA-NH),,,,,,,,,,,,,,
,Chicago ,,Chicago-Joliet-Naperville (IL-IN-WI),,,,,,,,,,,,,,
,Dallas-Fort Worth,,Dallas-Fort Worth-Arlington (TX),,,,,,,,,,,,,,
,Denver ,,Denver-Aurora-Broomfield (CO),,,,,,,,,,,,,,
,Detroit ,,Detroit-Warren-Livonia (MI),,,,,,,,,,,,,,
,Houston ,,Houston-Sugar Land-Baytown (TX),,,,,,,,,,,,,,
,Los Angeles ,,Los Angeles-Long Beach-Santa Ana (CA),,,,,,,,,,,,,,
,Miami-Ft. Lauderdale,,Miami-Fort Lauderdale-Pompano Beach (FL),,,,,,,,,,,,,,
,Minneapolis-St. Paul,,Minneapolis-St. Paul-Bloomington (MN-WI),,,,,,,,,,,,,,
,New York City,,New York-Northern New Jersey-Long Island (NY-NJ-PA),,,,,,,,,,,,,,
,Philadelphia ,,Philadelphia-Camden-Wilmington (PA-NJ-DE-MD),,,,,,,,,,,,,,
,Phoenix ,,Phoenix-Mesa-Glendale (AZ),,,,,,,,,,,,,,
,Pittsburgh ,,Pittsburgh (PA),,,,,,,,,,,,,,
,Portland ,,Portland-Vancouver-Hillsboro (OR-WA),,,,,,,,,,,,,,
,Riverside ,,Riverside-San Bernardino-Ontario (CA),,,,,,,,,,,,,,
,Sacramento ,,Sacramento--Arden-Arcade--Roseville (CA),,,,,,,,,,,,,,
,San Antonio ,,San Antonio-New Braunfels (TX),,,,,,,,,,,,,,
,San Diego ,,San Diego-Carlsbad-San Marcos (CA),,,,,,,,,,,,,,
,San Francisco ,,San Francisco-Oakland-Fremont (CA),,,,,,,,,,,,,,
,Seattle ,,Seattle-Tacoma-Bellevue (WA),,,,,,,,,,,,,,
,St. Louis ,,St. Louis (MO-IL ),,,,,,,,,,,,,,
,Tampa ,,Tampa-St. Petersburg-Clearwater (FL),,,,,,,,,,,,,,
,Washington D.C. ,,Washington-Arlington-Alexandria (DC-VA-MD-WV),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
