"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LOS ANGELES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"111,960",590,"18,620","9,400","48,540","34,810","112,490",,,,,,,,,,
2003-04,"112,390",560,"17,170","9,750","50,800","34,110","113,210",,,,,,,,,,
2004-05,"117,470",560,"19,140","10,010","53,650","34,110","118,530",,,,,,,,,,
2005-06,"112,670",490,"18,720","9,180","50,660","33,620","112,670",,,,,,,,,,
2006-07,"111,250",480,"18,570","8,550","50,160","33,490","111,240",,,,,,,,,,
2007-08,"121,850",660,"19,990","9,230","57,000","34,970","123,960",,,,,,,,,,
2008-09,"125,180",600,"21,090","9,050","59,980","34,460","124,390",,,,,,,,,,
2009-10,"129,400",590,"21,040","9,610","64,970","33,190","126,280",,,,,,,,,,
2010-11,"133,360",550,"21,550","9,820","69,040","32,400","129,430",,,,,,,,,,
2011-12,"128,400",550,"20,880","8,980","67,180","30,810","125,870",,,,,,,,,,
2012-13,"125,850",540,"20,780","8,240","66,530","29,760","123,350",,,,,,,,,,
2013-14,"121,630",520,"20,150","7,490","65,230","28,240","118,870",,,,,,,,,,
2014-15,"125,410",500,"21,120","7,880","67,940","27,970","121,680",,,,,,,,,,
2015-16,"122,440",490,"19,750","7,440","67,520","27,240","119,210",,,,,,,,,,
2016-17,"123,550",450,"20,560","7,320","68,390","26,830","119,700",,,,,,,,,,
2017-18,"124,970",440,"21,350","7,070","69,950","26,160","120,480",,,,,,,,,,
2018-19,"123,900",430,"20,690","6,860","70,430","25,490","118,950",,,,,,,,,,
2019-20,"123,710",420,"20,700","6,640","70,960","24,990","118,960",,,,,,,,,,
2020-21,"126,300",400,"21,450","6,420","72,760","25,270","120,740",,,,,,,,,,
2021-22,"126,950",400,"21,350","6,220","73,860","25,120","121,320",,,,,,,,,,
2022-23,"128,590",420,"21,360","6,160","76,640","24,010","122,980",,,,,,,,,,
2023-24,"132,430",440,"22,260","6,580","79,360","23,790","126,000",,,,,,,,,,
2024-25,"133,390",440,"23,010","6,420","80,310","23,210","126,770",,,,,,,,,,
2025-26,"130,610",450,"22,920","6,620","77,660","22,960","123,390",,,,,,,,,,
2026-27,"124,270",430,"22,420","6,400","72,840","22,180","117,860",,,,,,,,,,
2027-28,"119,780",430,"21,540","6,220","69,580","22,010","114,170",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
