Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MIAMI-FORT LAUDERDALE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"37,410",100,"1,010","10,630","13,320","12,350","37,400",,,,,,,,,,
2003-04,"38,870",120,"1,100","10,950","14,050","12,650","38,870",,,,,,,,,,
2004-05,"39,020",120,"1,120","10,770","14,680","12,330","39,020",,,,,,,,,,
2005-06,"39,190",90,"1,210","10,700","14,970","12,220","39,170",,,,,,,,,,
2006-07,"41,130",90,"1,220","11,250","16,020","12,550","41,710",,,,,,,,,,
2007-08,"43,060",90,"1,250","12,010","17,160","12,550","43,780",,,,,,,,,,
2008-09,"44,680",100,"1,210","12,990","18,090","12,290","45,540",,,,,,,,,,
2009-10,"45,990",110,"1,310","13,020","19,300","12,250","45,020",,,,,,,,,,
2010-11,"49,080",140,"1,310","13,870","21,290","12,470","46,270",,,,,,,,,,
2011-12,"45,900",150,"1,310","12,250","20,460","11,730","43,790",,,,,,,,,,
2012-13,"46,510",160,"1,420","12,480","20,970","11,480","44,260",,,,,,,,,,
2013-14,"43,680",140,"1,430","11,130","20,300","10,680","42,180",,,,,,,,,,
2014-15,"46,580",180,"1,610","12,040","21,960","10,790","43,970",,,,,,,,,,
2015-16,"46,790",180,"1,570","11,870","22,710","10,460","43,590",,,,,,,,,,
2016-17,"47,970",180,"1,630","12,030","23,760","10,370","44,190",,,,,,,,,,
2017-18,"49,160",200,"1,770","12,380","24,610","10,200","44,340",,,,,,,,,,
2018-19,"49,400",230,"1,820","12,200","25,200","9,950","44,400",,,,,,,,,,
2019-20,"48,680",240,"1,880","11,930","25,160","9,470","43,580",,,,,,,,,,
2020-21,"48,900",240,"2,000","11,560","25,860","9,240","43,020",,,,,,,,,,
2021-22,"49,420",230,"2,060","11,520","26,450","9,160","43,360",,,,,,,,,,
2022-23,"54,510",170,"2,270","11,910","30,730","9,430","46,770",,,,,,,,,,
2023-24,"58,360",180,"2,390","12,630","33,610","9,550","49,040",,,,,,,,,,
2024-25,"58,670",180,"2,580","12,780","33,600","9,530","49,240",,,,,,,,,,
2025-26,"55,710",160,"2,460","12,690","31,130","9,270","47,370",,,,,,,,,,
2026-27,"52,950",140,"2,390","12,400","29,200","8,820","45,310",,,,,,,,,,
2027-28,"51,490",90,"2,320","12,160","28,290","8,630","44,100",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
