"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MINNEAPOLIS-ST. PAUL,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"33,670",280,"2,310","2,260",750,"28,070","33,670",,,,,,,,,,
2003-04,"32,550",290,"2,410","2,250",820,"26,780","32,540",,,,,,,,,,
2004-05,"33,660",280,"2,420","2,340",870,"27,750","33,650",,,,,,,,,,
2005-06,"34,630",310,"2,650","2,700",960,"28,010","34,640",,,,,,,,,,
2006-07,"35,600",290,"2,630","2,950","1,170","28,560","35,600",,,,,,,,,,
2007-08,"36,960",340,"2,900","3,260","1,230","29,230","36,970",,,,,,,,,,
2008-09,"36,900",310,"3,010","3,550","1,310","28,720","36,900",,,,,,,,,,
2009-10,"36,150",330,"2,940","3,630","1,420","27,830","36,100",,,,,,,,,,
2010-11,"35,780",270,"2,980","3,460","1,590","27,480","35,680",,,,,,,,,,
2011-12,"34,350",260,"2,890","3,230","1,630","26,340","34,400",,,,,,,,,,
2012-13,"33,670",250,"2,840","3,200","1,580","25,800","33,810",,,,,,,,,,
2013-14,"33,180",270,"2,910","3,210","1,650","25,140","33,340",,,,,,,,,,
2014-15,"33,620",280,"3,010","3,410","1,840","25,080","33,700",,,,,,,,,,
2015-16,"33,560",290,"2,940","3,470","1,860","25,000","33,630",,,,,,,,,,
2016-17,"33,950",280,"3,050","3,650","2,040","24,930","33,970",,,,,,,,,,
2017-18,"34,520",300,"3,320","3,850","2,060","24,990","34,460",,,,,,,,,,
2018-19,"35,080",310,"3,460","4,010","2,270","25,030","34,980",,,,,,,,,,
2019-20,"34,760",330,"3,540","4,030","2,320","24,540","34,590",,,,,,,,,,
2020-21,"35,730",340,"3,670","4,080","2,390","25,250","35,520",,,,,,,,,,
2021-22,"36,300",310,"3,660","4,150","2,630","25,550","36,170",,,,,,,,,,
2022-23,"37,240",350,"4,460","5,140","2,800","24,490","36,250",,,,,,,,,,
2023-24,"38,700",400,"4,650","5,600","3,020","25,030","37,560",,,,,,,,,,
2024-25,"39,130",390,"5,110","5,760","2,960","24,910","37,610",,,,,,,,,,
2025-26,"38,500",390,"5,150","5,810","2,850","24,300","36,960",,,,,,,,,,
2026-27,"37,540",380,"5,040","5,620","2,800","23,700","36,100",,,,,,,,,,
2027-28,"36,650",350,"4,970","5,690","2,570","23,070","35,050",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
