Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NEW YORK CITY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"137,950",310,"14,710","25,060","24,670","73,200","137,770",,,,,,,,,,
2003-04,"143,860",340,"14,840","26,420","26,410","75,850","143,410",,,,,,,,,,
2004-05,"150,730",450,"15,700","27,850","28,930","77,800","150,520",,,,,,,,,,
2005-06,"156,690",350,"16,710","29,290","30,420","79,920","156,690",,,,,,,,,,
2006-07,"162,340",310,"17,630","30,880","32,460","81,060","162,950",,,,,,,,,,
2007-08,"169,830",380,"18,340","32,590","36,060","82,460","170,190",,,,,,,,,,
2008-09,"174,960",300,"19,490","34,360","38,930","81,880","174,960",,,,,,,,,,
2009-10,"175,340",340,"19,530","34,480","39,810","81,180","172,550",,,,,,,,,,
2010-11,"179,490",360,"20,830","35,850","43,610","78,840","173,230",,,,,,,,,,
2011-12,"177,400",370,"21,300","35,250","43,980","76,500","171,600",,,,,,,,,,
2012-13,"174,200",340,"22,340","33,070","43,140","75,310","168,760",,,,,,,,,,
2013-14,"168,700",350,"22,270","31,210","41,780","73,090","166,220",,,,,,,,,,
2014-15,"170,940",320,"23,320","31,790","43,330","72,180","167,800",,,,,,,,,,
2015-16,"170,570",300,"23,600","31,400","44,050","71,220","168,970",,,,,,,,,,
2016-17,"171,530",290,"23,960","31,530","45,170","70,580","170,950",,,,,,,,,,
2017-18,"173,020",280,"26,290","30,810","45,970","69,670","173,270",,,,,,,,,,
2018-19,"171,600",270,"25,620","30,400","47,040","68,270","173,280",,,,,,,,,,
2019-20,"170,740",290,"26,830","29,410","47,730","66,480","173,690",,,,,,,,,,
2020-21,"172,390",280,"28,350","28,730","48,540","66,490","176,950",,,,,,,,,,
2021-22,"172,240",260,"29,600","27,750","49,780","64,850","177,130",,,,,,,,,,
2022-23,"165,110",220,"27,910","25,650","48,710","62,620","171,740",,,,,,,,,,
2023-24,"168,160",210,"29,110","26,200","50,500","62,140","174,040",,,,,,,,,,
2024-25,"171,330",210,"31,350","26,540","51,430","61,800","176,500",,,,,,,,,,
2025-26,"168,090",210,"30,810","26,240","50,930","59,900","173,530",,,,,,,,,,
2026-27,"165,900",220,"30,470","25,870","50,510","58,830","171,310",,,,,,,,,,
2027-28,"162,610",230,"30,560","24,810","49,250","57,760","167,440",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
