"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PHILADELPHIA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"51,310",60,"2,390","12,290","2,420","34,150","51,290",,,,,,,,,,
2003-04,"54,070",80,"2,460","13,570","2,730","35,230","54,060",,,,,,,,,,
2004-05,"55,700",80,"2,730","14,330","2,980","35,580","55,700",,,,,,,,,,
2005-06,"56,270",60,"2,870","14,770","3,120","35,450","56,250",,,,,,,,,,
2006-07,"56,950",100,"2,720","13,950","3,310","36,870","56,990",,,,,,,,,,
2007-08,"58,060",90,"2,910","14,350","3,530","37,180","58,190",,,,,,,,,,
2008-09,"58,410",90,"2,920","14,730","3,610","37,060","58,520",,,,,,,,,,
2009-10,"59,890",90,"3,140","16,480","4,140","36,040","59,030",,,,,,,,,,
2010-11,"60,080",80,"3,280","16,760","4,520","35,440","58,790",,,,,,,,,,
2011-12,"58,930",90,"3,470","16,390","4,660","34,320","57,870",,,,,,,,,,
2012-13,"57,870",80,"3,680","15,230","4,860","34,020","56,990",,,,,,,,,,
2013-14,"55,890",80,"3,720","14,250","4,730","33,110","55,920",,,,,,,,,,
2014-15,"54,870",70,"3,880","14,060","4,860","32,000","55,330",,,,,,,,,,
2015-16,"55,230",90,"3,980","14,130","5,150","31,880","55,680",,,,,,,,,,
2016-17,"55,890",80,"4,080","14,290","5,470","31,970","56,430",,,,,,,,,,
2017-18,"56,370",90,"4,510","14,150","5,610","32,010","57,010",,,,,,,,,,
2018-19,"56,130",80,"4,730","14,030","5,870","31,420","56,860",,,,,,,,,,
2019-20,"55,350",80,"4,900","13,660","6,060","30,650","56,220",,,,,,,,,,
2020-21,"56,140",90,"5,220","13,660","6,270","30,900","57,250",,,,,,,,,,
2021-22,"56,080",90,"5,480","13,300","6,570","30,640","57,530",,,,,,,,,,
2022-23,"56,360",80,"5,850","13,530","7,630","29,270","57,290",,,,,,,,,,
2023-24,"58,120",70,"6,080","14,290","8,340","29,340","58,540",,,,,,,,,,
2024-25,"59,010",70,"6,420","14,730","8,540","29,250","59,130",,,,,,,,,,
2025-26,"58,040",60,"6,260","14,770","8,420","28,530","58,310",,,,,,,,,,
2026-27,"56,950",60,"6,320","14,560","8,280","27,730","57,080",,,,,,,,,,
2027-28,"55,810",60,"6,330","14,190","8,050","27,180","55,730",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
