Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PHOENIX,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"34,100",770,"1,070","1,870","8,570","21,820","34,120",,,,,,,,,,
2003-04,"35,360",780,900,"1,920","8,870","22,890","36,640",,,,,,,,,,
2004-05,"37,980",870,"1,210","2,260","10,930","22,710","37,980",,,,,,,,,,
2005-06,"41,080",960,"1,560","2,520","11,350","24,690","41,070",,,,,,,,,,
2006-07,"36,420",890,"1,290","2,360","10,670","21,210","36,430",,,,,,,,,,
2007-08,"40,770","1,080","1,420","2,740","12,810","22,720","40,760",,,,,,,,,,
2008-09,"41,160",960,"1,550","2,830","13,710","22,110","41,160",,,,,,,,,,
2009-10,"42,020",980,"1,520","3,160","14,390","21,970","42,320",,,,,,,,,,
2010-11,"42,420",930,"1,640","3,140","15,050","21,660","42,750",,,,,,,,,,
2011-12,"41,190",880,"1,730","3,070","14,760","20,750","41,750",,,,,,,,,,
2012-13,"39,870",770,"1,860","2,980","14,270","19,990","40,970",,,,,,,,,,
2013-14,"38,930",710,"1,890","2,980","13,910","19,440","40,260",,,,,,,,,,
2014-15,"40,200",780,"1,950","3,220","14,480","19,770","40,840",,,,,,,,,,
2015-16,"40,590",790,"2,090","3,490","14,600","19,620","40,990",,,,,,,,,,
2016-17,"41,080",820,"2,230","3,410","14,880","19,740","41,230",,,,,,,,,,
2017-18,"41,480",790,"2,360","3,660","14,860","19,810","41,180",,,,,,,,,,
2018-19,"41,670",780,"2,560","3,640","15,080","19,610","41,030",,,,,,,,,,
2019-20,"41,750",800,"2,680","3,840","14,860","19,570","40,650",,,,,,,,,,
2020-21,"42,360",810,"2,860","3,870","14,870","19,950","40,780",,,,,,,,,,
2021-22,"42,480",840,"3,090","4,090","14,770","19,690","40,430",,,,,,,,,,
2022-23,"47,450",930,"3,510","5,030","17,340","20,640","43,650",,,,,,,,,,
2023-24,"50,970",950,"4,010","5,660","18,390","21,960","46,590",,,,,,,,,,
2024-25,"51,500",960,"4,360","6,120","18,540","21,520","46,490",,,,,,,,,,
2025-26,"49,990",950,"4,250","6,340","17,170","21,280","44,640",,,,,,,,,,
2026-27,"47,090",910,"4,070","6,440","15,500","20,170","41,600",,,,,,,,,,
2027-28,"44,980",870,"4,070","6,300","14,000","19,740","39,420",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
