"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PITTSBURGH,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"24,420",20,250,"2,100",100,"21,950","24,420",,,,,,,,,,
2003-04,"24,530",10,240,"2,090",100,"22,090","24,530",,,,,,,,,,
2004-05,"24,940",20,240,"2,380",120,"22,180","24,930",,,,,,,,,,
2005-06,"24,920",30,300,"2,450",120,"22,020","24,930",,,,,,,,,,
2006-07,"25,400",20,270,"2,550",120,"22,440","25,410",,,,,,,,,,
2007-08,"25,210",30,320,"2,570",130,"22,160","25,310",,,,,,,,,,
2008-09,"25,160",20,300,"2,690",150,"22,000","25,300",,,,,,,,,,
2009-10,"25,100",30,320,"2,930",160,"21,660","25,690",,,,,,,,,,
2010-11,"24,950",30,330,"3,000",180,"21,410","25,610",,,,,,,,,,
2011-12,"24,170",30,350,"2,910",190,"20,690","25,100",,,,,,,,,,
2012-13,"23,880",30,380,"2,660",200,"20,610","24,610",,,,,,,,,,
2013-14,"23,050",30,380,"2,470",190,"19,980","24,110",,,,,,,,,,
2014-15,"22,330",20,400,"2,440",190,"19,280","23,820",,,,,,,,,,
2015-16,"22,280",30,410,"2,440",210,"19,190","23,940",,,,,,,,,,
2016-17,"22,460",30,420,"2,450",220,"19,340","24,260",,,,,,,,,,
2017-18,"22,700",30,470,"2,420",220,"19,560","24,560",,,,,,,,,,
2018-19,"22,370",30,500,"2,390",230,"19,220","24,510",,,,,,,,,,
2019-20,"21,880",30,510,"2,340",240,"18,760","24,200",,,,,,,,,,
2020-21,"22,130",30,540,"2,330",240,"18,990","24,620",,,,,,,,,,
2021-22,"22,070",30,580,"2,260",260,"18,940","24,840",,,,,,,,,,
2022-23,"21,200",30,620,"2,310",310,"17,930","24,740",,,,,,,,,,
2023-24,"21,630",30,650,"2,450",340,"18,160","25,370",,,,,,,,,,
2024-25,"21,770",30,680,"2,510",350,"18,200","25,630",,,,,,,,,,
2025-26,"21,440",30,660,"2,540",350,"17,860","25,390",,,,,,,,,,
2026-27,"20,920",20,670,"2,500",350,"17,380","24,940",,,,,,,,,,
2027-28,"20,510",20,670,"2,460",340,"17,020","24,390",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
