Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PORTLAND,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"18,300",170,"1,270",650,"1,140","15,070","18,330",,,,,,,,,,
2003-04,"18,670",160,"1,290",630,"1,200","15,390","18,800",,,,,,,,,,
2004-05,"18,390",160,"1,320",660,"1,280","14,970","18,560",,,,,,,,,,
2005-06,"18,720",200,"1,410",680,"1,380","15,050","18,720",,,,,,,,,,
2006-07,"18,980",200,"1,500",750,"1,600","14,930","19,520",,,,,,,,,,
2007-08,"19,400",220,"1,500",760,"1,760","15,160","19,780",,,,,,,,,,
2008-09,"19,680",210,"1,510",760,"1,990","15,210","20,180",,,,,,,,,,
2009-10,"19,950",200,"1,520",850,"2,240","15,140","20,620",,,,,,,,,,
2010-11,"20,510",190,"1,540",850,"2,520","15,410","20,680",,,,,,,,,,
2011-12,"19,300",170,"1,490",770,"2,470","14,400","19,940",,,,,,,,,,
2012-13,"19,250",170,"1,500",760,"2,650","14,170","19,890",,,,,,,,,,
2013-14,"19,100",160,"1,540",700,"2,790","13,910","19,740",,,,,,,,,,
2014-15,"19,220",160,"1,560",700,"3,050","13,750","19,860",,,,,,,,,,
2015-16,"19,640",160,"1,530",700,"3,340","13,910","20,260",,,,,,,,,,
2016-17,"19,730",160,"1,530",710,"3,520","13,810","20,260",,,,,,,,,,
2017-18,"19,920",150,"1,590",650,"3,800","13,730","20,320",,,,,,,,,,
2018-19,"19,970",140,"1,580",610,"4,120","13,520","20,320",,,,,,,,,,
2019-20,"19,820",130,"1,500",570,"4,310","13,310","20,060",,,,,,,,,,
2020-21,"20,290",130,"1,580",570,"4,570","13,440","20,360",,,,,,,,,,
2021-22,"20,640",130,"1,590",550,"4,950","13,420","20,500",,,,,,,,,,
2022-23,"19,820",150,"1,630",620,"4,990","12,430","20,590",,,,,,,,,,
2023-24,"21,010",160,"1,760",700,"5,390","13,000","21,780",,,,,,,,,,
2024-25,"21,350",160,"1,770",720,"5,540","13,160","22,120",,,,,,,,,,
2025-26,"21,390",150,"1,770",740,"5,690","13,040","22,110",,,,,,,,,,
2026-27,"20,630",150,"1,760",710,"5,350","12,660","21,390",,,,,,,,,,
2027-28,"19,970",140,"1,750",720,"5,090","12,270","20,680",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
