Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SACRAMENTO,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"20,520",310,"2,570","1,740","2,960","12,940","21,080",,,,,,,,,,
2003-04,"20,620",290,"3,160","1,760","3,010","12,400","21,020",,,,,,,,,,
2004-05,"21,330",280,"3,160","1,890","3,450","12,550","21,770",,,,,,,,,,
2005-06,"21,140",260,"3,220","1,960","3,380","12,320","21,140",,,,,,,,,,
2006-07,"21,290",240,"3,270","2,030","3,520","12,230","21,280",,,,,,,,,,
2007-08,"21,920",240,"3,460","2,070","3,710","12,440","22,720",,,,,,,,,,
2008-09,"23,630",260,"4,010","2,310","3,990","13,060","23,240",,,,,,,,,,
2009-10,"22,600",270,"3,690","2,140","4,320","12,180","23,550",,,,,,,,,,
2010-11,"22,700",250,"3,780","2,190","4,590","11,890","24,140",,,,,,,,,,
2011-12,"21,680",250,"3,660","2,000","4,470","11,300","23,470",,,,,,,,,,
2012-13,"21,070",250,"3,640","1,840","4,420","10,920","23,000",,,,,,,,,,
2013-14,"20,140",240,"3,530","1,670","4,340","10,360","22,170",,,,,,,,,,
2014-15,"20,470",230,"3,700","1,760","4,520","10,260","22,690",,,,,,,,,,
2015-16,"19,820",220,"3,460","1,660","4,490","9,990","22,230",,,,,,,,,,
2016-17,"19,820",200,"3,600","1,630","4,550","9,840","22,320",,,,,,,,,,
2017-18,"19,770",200,"3,740","1,580","4,650","9,600","22,470",,,,,,,,,,
2018-19,"19,390",200,"3,630","1,530","4,680","9,350","22,180",,,,,,,,,,
2019-20,"19,190",190,"3,630","1,480","4,720","9,170","22,180",,,,,,,,,,
2020-21,"19,480",180,"3,760","1,430","4,840","9,270","22,520",,,,,,,,,,
2021-22,"19,440",180,"3,740","1,390","4,910","9,220","22,620",,,,,,,,,,
2022-23,"19,200",190,"3,740","1,370","5,090","8,810","22,930",,,,,,,,,,
2023-24,"19,580",200,"3,900","1,470","5,280","8,730","23,500",,,,,,,,,,
2024-25,"19,510",200,"4,030","1,430","5,340","8,510","23,640",,,,,,,,,,
2025-26,"19,290",210,"4,020","1,480","5,160","8,420","23,010",,,,,,,,,,
2026-27,"18,540",200,"3,930","1,430","4,840","8,140","21,980",,,,,,,,,,
2027-28,"18,050",200,"3,770","1,390","4,620","8,070","21,290",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
