"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SAN ANTONIO,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"20,240",30,320,"1,510","10,750","7,630","20,240",,,,,,,,,,
2003-04,"20,170",40,320,"1,550","10,840","7,420","20,170",,,,,,,,,,
2004-05,"19,840",40,310,"1,480","10,790","7,220","19,840",,,,,,,,,,
2005-06,"19,750",40,380,"1,490","10,360","7,480","19,760",,,,,,,,,,
2006-07,"19,950",60,410,"1,630","10,440","7,410","19,940",,,,,,,,,,
2007-08,"21,010",60,450,"1,590","11,350","7,560","21,010",,,,,,,,,,
2008-09,"21,860",50,500,"1,700","12,020","7,590","21,840",,,,,,,,,,
2009-10,"23,400",80,450,"1,680","13,980","7,210","22,590",,,,,,,,,,
2010-11,"23,890",80,480,"1,720","14,410","7,200","23,020",,,,,,,,,,
2011-12,"24,090",80,480,"1,670","14,900","6,960","23,100",,,,,,,,,,
2012-13,"24,250",90,510,"1,620","15,240","6,790","23,350",,,,,,,,,,
2013-14,"23,380",80,540,"1,480","14,820","6,460","22,750",,,,,,,,,,
2014-15,"25,010",90,570,"1,540","16,300","6,510","23,800",,,,,,,,,,
2015-16,"25,820",90,570,"1,530","17,230","6,400","24,290",,,,,,,,,,
2016-17,"26,870",90,600,"1,520","18,200","6,460","25,030",,,,,,,,,,
2017-18,"27,850",90,640,"1,510","19,180","6,430","25,660",,,,,,,,,,
2018-19,"28,790",100,680,"1,490","20,220","6,300","26,100",,,,,,,,,,
2019-20,"29,190",100,680,"1,470","20,730","6,210","26,270",,,,,,,,,,
2020-21,"30,010",90,730,"1,440","21,610","6,140","26,690",,,,,,,,,,
2021-22,"30,530",90,750,"1,400","22,240","6,050","26,930",,,,,,,,,,
2022-23,"31,220",70,730,"1,460","22,930","6,030","27,300",,,,,,,,,,
2023-24,"32,330",80,780,"1,590","23,760","6,120","28,290",,,,,,,,,,
2024-25,"33,200",80,850,"1,600","24,550","6,120","28,820",,,,,,,,,,
2025-26,"32,960",80,870,"1,570","24,360","6,080","28,680",,,,,,,,,,
2026-27,"32,690",80,890,"1,560","24,160","6,000","28,430",,,,,,,,,,
2027-28,"31,080",80,890,"1,530","22,690","5,890","27,310",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
