Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SAN DIEGO,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"28,420",260,"3,640","2,040","9,050","13,430","28,660",,,,,,,,,,
2003-04,"28,100",250,"3,870","1,930","8,960","13,090","28,380",,,,,,,,,,
2004-05,"28,770",230,"3,640","2,040","9,720","13,140","29,070",,,,,,,,,,
2005-06,"28,820",270,"3,790","2,030","9,640","13,090","28,820",,,,,,,,,,
2006-07,"29,120",260,"3,750","2,070","10,110","12,930","29,120",,,,,,,,,,
2007-08,"30,850",270,"3,850","1,980","11,190","13,560","31,360",,,,,,,,,,
2008-09,"32,910",300,"4,460","2,360","12,300","13,490","32,740",,,,,,,,,,
2009-10,"32,210",280,"4,200","2,190","12,660","12,880","32,290",,,,,,,,,,
2010-11,"32,820",260,"4,300","2,240","13,450","12,570","33,100",,,,,,,,,,
2011-12,"31,520",260,"4,170","2,050","13,090","11,950","32,190",,,,,,,,,,
2012-13,"30,790",260,"4,150","1,880","12,960","11,540","31,540",,,,,,,,,,
2013-14,"29,650",250,"4,020","1,710","12,710","10,960","30,400",,,,,,,,,,
2014-15,"30,330",240,"4,210","1,800","13,230","10,850","31,120",,,,,,,,,,
2015-16,"29,590",230,"3,940","1,700","13,150","10,570","30,490",,,,,,,,,,
2016-17,"29,710",210,"4,100","1,670","13,320","10,410","30,610",,,,,,,,,,
2017-18,"29,850",210,"4,260","1,610","13,620","10,150","30,810",,,,,,,,,,
2018-19,"29,500",200,"4,130","1,560","13,720","9,890","30,420",,,,,,,,,,
2019-20,"29,350",200,"4,130","1,510","13,820","9,690","30,420",,,,,,,,,,
2020-21,"29,910",190,"4,280","1,460","14,170","9,810","30,880",,,,,,,,,,
2021-22,"30,010",190,"4,260","1,420","14,390","9,750","31,030",,,,,,,,,,
2022-23,"30,100",200,"4,260","1,400","14,930","9,310","31,450",,,,,,,,,,
2023-24,"30,840",210,"4,440","1,500","15,460","9,230","32,220",,,,,,,,,,
2024-25,"30,900",210,"4,590","1,460","15,640","9,000","32,420",,,,,,,,,,
2025-26,"30,340",220,"4,570","1,510","15,130","8,910","31,550",,,,,,,,,,
2026-27,"28,930",210,"4,470","1,460","14,190","8,600","30,140",,,,,,,,,,
2027-28,"28,010",200,"4,300","1,420","13,550","8,540","29,200",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
