"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SAN FRANCISCO,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"32,620",170,"8,770","3,490","5,970","14,220","32,930",,,,,,,,,,
2003-04,"32,810",170,"8,760","3,490","6,230","14,160","33,190",,,,,,,,,,
2004-05,"33,150",150,"8,890","3,730","6,500","13,880","33,980",,,,,,,,,,
2005-06,"32,990",140,"9,470","3,350","6,180","13,850","32,980",,,,,,,,,,
2006-07,"33,580",180,"9,570","3,700","6,450","13,680","33,580",,,,,,,,,,
2007-08,"34,890",190,"9,940","3,600","7,180","13,980","35,900",,,,,,,,,,
2008-09,"36,150",150,"11,060","3,700","7,480","13,760","35,330",,,,,,,,,,
2009-10,"36,020",170,"10,540","3,780","8,080","13,450","36,730",,,,,,,,,,
2010-11,"36,540",160,"10,800","3,860","8,590","13,130","37,640",,,,,,,,,,
2011-12,"35,000",160,"10,460","3,530","8,360","12,490","36,610",,,,,,,,,,
2012-13,"34,150",160,"10,410","3,240","8,280","12,060","35,870",,,,,,,,,,
2013-14,"32,750",150,"10,100","2,940","8,120","11,440","34,570",,,,,,,,,,
2014-15,"33,620",150,"10,580","3,100","8,450","11,340","35,390",,,,,,,,,,
2015-16,"32,410",140,"9,900","2,930","8,400","11,040","34,670",,,,,,,,,,
2016-17,"32,690",130,"10,300","2,880","8,510","10,870","34,810",,,,,,,,,,
2017-18,"32,910",130,"10,700","2,780","8,700","10,600","35,040",,,,,,,,,,
2018-19,"32,290",130,"10,370","2,700","8,760","10,330","34,600",,,,,,,,,,
2019-20,"32,070",120,"10,380","2,610","8,830","10,130","34,600",,,,,,,,,,
2020-21,"32,680",120,"10,750","2,520","9,050","10,240","35,120",,,,,,,,,,
2021-22,"32,630",120,"10,700","2,440","9,190","10,180","35,280",,,,,,,,,,
2022-23,"32,520",120,"10,710","2,420","9,540","9,730","35,770",,,,,,,,,,
2023-24,"33,380",130,"11,150","2,590","9,870","9,640","36,650",,,,,,,,,,
2024-25,"33,580",130,"11,530","2,520","9,990","9,410","36,870",,,,,,,,,,
2025-26,"33,180",130,"11,490","2,600","9,660","9,300","35,890",,,,,,,,,,
2026-27,"31,930",130,"11,240","2,510","9,060","8,990","34,280",,,,,,,,,,
2027-28,"30,950",130,"10,800","2,440","8,660","8,920","33,210",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
