Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SEATTLE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"28,450",410,"3,840","1,900","1,200","21,100","28,440",,,,,,,,,,
2003-04,"28,850",430,"3,780","2,030","1,340","21,270","28,840",,,,,,,,,,
2004-05,"28,440",420,"3,770","2,020","1,440","20,790","28,440",,,,,,,,,,
2005-06,"28,620",430,"3,970","2,080","1,520","20,620","28,620",,,,,,,,,,
2006-07,"29,250",420,"4,250","2,120","1,620","20,840","29,490",,,,,,,,,,
2007-08,"28,830",380,"4,170","2,060","1,750","20,470","29,150",,,,,,,,,,
2008-09,"29,360",410,"4,410","2,230","1,890","20,420","29,790",,,,,,,,,,
2009-10,"30,860",450,"4,620","2,530","2,170","21,090","31,380",,,,,,,,,,
2010-11,"31,050",330,"4,420","2,320","2,520","21,460","31,350",,,,,,,,,,
2011-12,"29,490",300,"4,520","2,270","2,500","19,900","30,180",,,,,,,,,,
2012-13,"28,770",270,"4,440","2,200","2,480","19,380","29,880",,,,,,,,,,
2013-14,"27,800",270,"4,450","2,070","2,380","18,630","29,190",,,,,,,,,,
2014-15,"28,450",270,"4,750","2,120","2,750","18,560","30,010",,,,,,,,,,
2015-16,"28,770",270,"4,830","2,150","2,860","18,660","30,360",,,,,,,,,,
2016-17,"28,790",270,"4,750","2,200","3,010","18,560","30,610",,,,,,,,,,
2017-18,"29,040",270,"5,050","2,130","3,110","18,480","30,930",,,,,,,,,,
2018-19,"28,940",250,"5,140","2,080","3,310","18,160","31,000",,,,,,,,,,
2019-20,"28,710",240,"5,300","2,140","3,310","17,720","30,640",,,,,,,,,,
2020-21,"29,350",250,"5,590","2,120","3,480","17,910","31,330",,,,,,,,,,
2021-22,"29,800",250,"5,780","2,200","3,650","17,920","31,820",,,,,,,,,,
2022-23,"29,130",300,"6,020","2,510","3,670","16,630","32,080",,,,,,,,,,
2023-24,"30,800",330,"6,480","2,850","3,850","17,290","33,750",,,,,,,,,,
2024-25,"31,720",340,"6,980","2,910","4,100","17,390","34,570",,,,,,,,,,
2025-26,"32,210",330,"7,200","2,930","4,200","17,550","35,100",,,,,,,,,,
2026-27,"31,870",330,"7,100","2,960","4,160","17,320","34,710",,,,,,,,,,
2027-28,"31,050",310,"6,970","2,970","3,940","16,860","33,620",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
