"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ST. LOUIS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"26,660",40,430,"5,470",260,"20,460","26,650",,,,,,,,,,
2003-04,"27,820",40,480,"5,780",230,"21,290","27,810",,,,,,,,,,
2004-05,"27,170",30,460,"5,950",270,"20,460","27,200",,,,,,,,,,
2005-06,"27,590",40,540,"6,080",340,"20,590","27,590",,,,,,,,,,
2006-07,"28,450",40,530,"6,490",390,"21,000","28,500",,,,,,,,,,
2007-08,"28,830",50,550,"6,270",450,"21,510","28,930",,,,,,,,,,
2008-09,"29,760",60,540,"7,420",430,"21,310","29,870",,,,,,,,,,
2009-10,"29,470",60,580,"7,020",470,"21,340","29,750",,,,,,,,,,
2010-11,"29,140",70,580,"7,150",520,"20,820","29,370",,,,,,,,,,
2011-12,"28,750",70,630,"7,110",560,"20,380","29,200",,,,,,,,,,
2012-13,"28,020",70,690,"6,750",580,"19,930","28,820",,,,,,,,,,
2013-14,"26,830",60,700,"6,030",540,"19,500","27,650",,,,,,,,,,
2014-15,"26,850",60,730,"6,180",600,"19,280","27,700",,,,,,,,,,
2015-16,"27,330",60,760,"6,310",660,"19,540","28,360",,,,,,,,,,
2016-17,"27,110",60,760,"6,200",670,"19,420","28,210",,,,,,,,,,
2017-18,"27,550",60,860,"6,280",730,"19,620","28,590",,,,,,,,,,
2018-19,"27,400",70,900,"6,130",760,"19,540","28,410",,,,,,,,,,
2019-20,"27,040",70,930,"6,010",800,"19,230","28,120",,,,,,,,,,
2020-21,"27,160",70,"1,040","5,930",830,"19,290","28,290",,,,,,,,,,
2021-22,"27,470",70,"1,070","6,030",860,"19,440","28,600",,,,,,,,,,
2022-23,"27,490",70,"1,100","6,240",970,"19,110","28,840",,,,,,,,,,
2023-24,"28,420",70,"1,190","6,660","1,020","19,480","29,660",,,,,,,,,,
2024-25,"28,620",70,"1,230","6,790","1,030","19,500","29,780",,,,,,,,,,
2025-26,"28,250",70,"1,290","6,710","1,000","19,180","29,320",,,,,,,,,,
2026-27,"27,470",60,"1,250","6,460",940,"18,760","28,550",,,,,,,,,,
2027-28,"26,710",60,"1,190","6,180",940,"18,340","27,730",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
