Appendix B: Projections for Major Metropolitan Areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TAMPA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"18,240",50,520,"2,500","2,180","12,990","18,240",,,,,,,,,,
2003-04,"18,510",70,570,"2,590","2,380","12,900","18,510",,,,,,,,,,
2004-05,"18,920",90,570,"2,770","2,580","12,910","18,920",,,,,,,,,,
2005-06,"19,450",70,670,"2,850","2,900","12,960","19,440",,,,,,,,,,
2006-07,"19,890",70,680,"2,860","2,990","13,290","20,330",,,,,,,,,,
2007-08,"20,680",60,650,"3,210","3,220","13,540","21,260",,,,,,,,,,
2008-09,"21,360",70,820,"3,390","3,570","13,510","22,080",,,,,,,,,,
2009-10,"20,930",80,730,"3,400","3,630","13,090","21,960",,,,,,,,,,
2010-11,"21,800",110,740,"3,620","4,000","13,330","22,570",,,,,,,,,,
2011-12,"20,440",110,740,"3,200","3,850","12,540","21,360",,,,,,,,,,
2012-13,"20,390",120,800,"3,260","3,940","12,270","21,590",,,,,,,,,,
2013-14,"19,050",110,800,"2,900","3,820","11,420","20,580",,,,,,,,,,
2014-15,"19,830",130,900,"3,140","4,130","11,530","21,450",,,,,,,,,,
2015-16,"19,570",140,880,"3,100","4,270","11,180","21,260",,,,,,,,,,
2016-17,"19,740",140,910,"3,140","4,470","11,080","21,560",,,,,,,,,,
2017-18,"19,900",150,990,"3,230","4,630","10,900","21,630",,,,,,,,,,
2018-19,"19,740",170,"1,020","3,180","4,740","10,630","21,660",,,,,,,,,,
2019-20,"19,190",180,"1,050","3,110","4,730","10,120","21,260",,,,,,,,,,
2020-21,"19,060",180,"1,120","3,020","4,860","9,880","20,990",,,,,,,,,,
2021-22,"19,100",170,"1,160","3,010","4,970","9,790","21,150",,,,,,,,,,
2022-23,"20,370",120,"1,280","3,110","5,780","10,080","22,820",,,,,,,,,,
2023-24,"21,300",130,"1,340","3,300","6,320","10,210","23,920",,,,,,,,,,
2024-25,"21,420",130,"1,450","3,330","6,320","10,190","24,020",,,,,,,,,,
2025-26,"20,570",120,"1,380","3,310","5,850","9,910","23,110",,,,,,,,,,
2026-27,"19,600",100,"1,340","3,240","5,490","9,430","22,100",,,,,,,,,,
2027-28,"19,080",70,"1,300","3,170","5,320","9,220","21,510",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
