"Knocking at the College Door
Projections of High School Graduates by Sex and for Major Metropolitan Areas",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
WASHINGTON D.C.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Public High School Graduates  ̶  2002-03 to 2027-28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ACADEMIC YEAR,"RACE/
ETHNICITY 
TOTAL",PUBLIC BY RACE/ETHNICITY,,,,,"PUBLIC
TOTAL",,,,,,,,,,
,,"American Indian/
Alaska Native","Asian/
Pacific Islander","Black 
non-Hispanic",Hispanic,"White 
non-Hispanic",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2002-03,"47,560",160,"4,430","14,000","3,890","25,080","47,800",,,,,,,,,,
2003-04,"48,400",130,"4,390","14,650","4,120","25,110","48,630",,,,,,,,,,
2004-05,"53,260",160,"4,840","17,870","4,940","25,450","50,480",,,,,,,,,,
2005-06,"50,190",130,"4,920","15,200","4,810","25,130","50,190",,,,,,,,,,
2006-07,"49,750",160,"5,050","13,990","5,190","25,360","52,770",,,,,,,,,,
2007-08,"54,640",170,"5,370","17,230","5,990","25,880","55,270",,,,,,,,,,
2008-09,"55,780",180,"5,490","17,680","6,610","25,820","56,550",,,,,,,,,,
2009-10,"55,790",180,"5,740","17,400","7,130","25,340","55,360",,,,,,,,,,
2010-11,"57,030",190,"5,810","17,600","8,500","24,930","55,320",,,,,,,,,,
2011-12,"57,020",180,"5,890","17,620","8,790","24,540","55,440",,,,,,,,,,
2012-13,"56,880",210,"6,150","16,890","9,390","24,240","54,930",,,,,,,,,,
2013-14,"54,680",190,"6,460","15,500","9,300","23,230","52,640",,,,,,,,,,
2014-15,"55,190",180,"6,620","15,350","9,970","23,070","52,520",,,,,,,,,,
2015-16,"55,800",190,"6,960","15,270","10,300","23,080","53,060",,,,,,,,,,
2016-17,"56,050",190,"7,010","15,100","10,840","22,910","52,980",,,,,,,,,,
2017-18,"58,380",190,"7,790","15,380","11,860","23,160","54,430",,,,,,,,,,
2018-19,"58,880",180,"8,020","15,160","12,530","22,990","54,210",,,,,,,,,,
2019-20,"60,610",190,"8,650","15,030","13,800","22,940","55,100",,,,,,,,,,
2020-21,"61,820",180,"9,280","14,960","14,350","23,050","55,630",,,,,,,,,,
2021-22,"63,460",180,"9,750","15,170","15,140","23,220","56,570",,,,,,,,,,
2022-23,"64,880",210,"10,370","15,240","16,990","22,070","56,750",,,,,,,,,,
2023-24,"68,250",210,"10,730","15,960","19,200","22,150","58,720",,,,,,,,,,
2024-25,"69,720",200,"11,310","16,370","19,840","22,000","59,410",,,,,,,,,,
2025-26,"68,610",220,"11,150","16,250","19,280","21,710","58,590",,,,,,,,,,
2026-27,"67,560",220,"11,450","15,800","18,930","21,160","57,380",,,,,,,,,,
2027-28,"66,220",210,"11,590","15,470","17,910","21,040","56,430",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
